n,lambda_n,lambda_n_over_n
114,143.561705736720919994868762328,1.25931320821685017539358563445
115,145.374678785570079934657145555,1.264127641613652868997018657
116,147.188848784984913963630599019,1.2688693860774561548588844743
117,149.003709169655209394098319475,1.27353597580901888371024204679
118,150.818769701312031944209076139,1.27812516696027145715431420457
119,152.633559188501738341412011717,1.28263495116388015412951270351
120,154.447628116523282871810042022,1.28706356763769402393175035018
121,156.260551172753292224199697881,1.29140951382440737375371651141
122,158.071929653135353569280817473,1.29567155453389634073180997929
123,159.881393736236200247884871093,1.29984872956289593697467374872
124,161.688604611968756329786127979,1.30394035977394158330472683854
125,163.493256452846723223566804029,1.30794605162277378578853443223
126,165.295078216463623229698650227,1.3118657001306636764261797637
127,167.093835268776698325383465727,1.3156994903053283332707359506
128,168.889330818718238143175286454,1.31944789702123623549355692542
129,170.68140715564894143525476425,1.32311168337712357701747879264
130,172.469946682204708953983042663,1.32669189755542083810756186664
131,174.254872736164503316232463922,1.33018986821499620852085850322
132,176.036150196077072690698930492,1.33360719845512933856590098858
133,177.813785866522726561263559988,1.33694575839490771850574105254
134,179.587828640047135548364272155,1.34020767641826220558480800116
135,181.358369433981350674848667068,1.34339532914060259759147160791
136,183.125540901549863192213078679,1.34651133015845487641333146088
137,184.88951691786046260412004495,1.34955851764861651535854047409
138,186.650511842559782923406156573,1.35253994088811436901018954039
139,188.408779562120648105638556295,1.35545884577065214464488169996
140,190.164612315895568074608712779,1.35831865939925405767577651985
141,191.918339311218996974924433886,1.3611229738384326026590385382
142,193.670325133963344909926464069,1.36387552911241792190089059204
143,195.420967962044462431300125023,1.36658019553877246455454632883
144,197.170697590425780951871817769,1.3692409554890679232768876234
145,198.919973277181066506722373552,1.37186188467021425177049912795
146,200.669281421138617753225773463,1.37444713302149738187140940728
147,202.419133082539741449597121174,1.37700090532339960169793959982
148,204.170061358996765552380265234,1.37952744161484301048905584617
149,205.922618629826287044566008119,1.38203099751561266472863092697
150,207.677373682557696415018697051,1.38451582455038464276679131367
151,209.434908736071504203735051843,1.38698615057000996161413941618
152,211.195816375403200291790328277,1.38944616036449473876177847551
153,212.960696413753256363603493997,1.39189997656047879976211433985
154,214.73015269766977407808819074,1.39435164089395957193563760221
155,216.504789871714922590523166911,1.39680509594654788768079462523
156,218.285210119187846160607704605,1.3992641674306913215423570808
157,220.072009895653722545592227805,1.40173254710607466589549189685
158,221.865776672120109904859440013,1.40421377640582348041050278489
159,223.667085704707060816688822143,1.40671123084721421897288567385
160,225.476496847576569201599951058,1.40922810529735355750999969411
161,227.294551425720048532153551381,1.41176740015975185423697858001
162,229.121769183950452073831595815,1.41433190854290402514710861614
163,230.958645328109504273196100823,1.41692420446692947406868773511
164,232.805647674081909208225748337,1.41954663215903603175747407523
165,234.663213919709348062335266295,1.42220129648308695795354706845
166,236.531749054119992201017568379,1.42489005454289151928323836373
167,238.411622918336957488043644069,1.42761450849303567358109966508
168,240.303167930304807440453260649,1.43037599958514766333603131339
169,242.206676986680442865188639992,1.43317560347148191044490319522
